iter	RMSE
0	2722.660335
1	2655.791006
2	2592.064109
3	2532.848823
4	2480.339238
5	2427.750715
6	2376.295504
7	2324.479709
8	2276.897037
9	2231.659498
10	2190.50122
11	2151.132419
12	2107.821543
13	2069.69045
14	2030.77877
15	1993.429428
16	1958.052088
17	1925.127997
18	1893.711249
19	1864.026844
20	1836.202487
21	1808.743845
22	1781.093155
23	1756.671949
24	1731.812211
25	1706.707129
26	1684.635058
27	1662.809
28	1640.088704
29	1620.41035
30	1600.262139
31	1581.005056
32	1561.93092
33	1544.171502
34	1525.264935
35	1508.487153
36	1491.998152
37	1475.455805
38	1460.988437
39	1446.709312
40	1431.539282
41	1417.374603
42	1403.385561
43	1389.712574
44	1377.316112
45	1365.630047
46	1353.596495
47	1342.717139
48	1332.312963
49	1323.099327
50	1313.12543
51	1303.670541
52	1293.230776
53	1284.04721
54	1275.057588
55	1266.042118
56	1257.594551
57	1249.968054
58	1242.609884
59	1234.597072
60	1227.299983
61	1220.092407
62	1212.769456
63	1205.940296
64	1199.974729
65	1193.140183
66	1188.153314
67	1182.541828
68	1176.650208
69	1170.425612
70	1165.185377
71	1159.904198
72	1154.328495
73	1149.890956
74	1144.813667
75	1140.362593
76	1135.921484
77	1131.486502
78	1127.453563
79	1123.965776
80	1120.088912
81	1116.002685
82	1112.395605
83	1108.936197
84	1105.401268
85	1102.149608
86	1098.7461
87	1095.516695
88	1092.190498
89	1089.325361
90	1086.647507
91	1083.664442
92	1080.962054
93	1078.320299
94	1075.584656
95	1073.015292
96	1070.472897
97	1067.860296
98	1065.445714
99	1063.597634
100	1061.281931
101	1059.12726
102	1056.95005
103	1055.103953
104	1053.357637
105	1051.659782
106	1049.659599
107	1047.891609
108	1046.007483
109	1044.347413
110	1042.777743
111	1041.207023
112	1039.682456
113	1038.270718
114	1036.823477
115	1035.791715
116	1034.506253
117	1033.391831
118	1032.012145
119	1030.821731
120	1029.423341
121	1028.3243
122	1027.24891
123	1025.992441
124	1024.977178
125	1023.998145
126	1023.040863
127	1022.259649
128	1021.285303
129	1020.335206
130	1019.505506
131	1018.729459
132	1017.904561
133	1017.156841
134	1016.346789
135	1015.398528
136	1014.717904
137	1013.850095
138	1013.250214
139	1012.846979
140	1012.385624
141	1011.733296
142	1011.008532
143	1010.454
144	1009.738742
145	1009.166531
146	1008.531358
147	1007.983163
148	1007.651486
149	1006.996198
150	1006.396778
151	1006.055984
152	1005.556845
153	1004.936184
154	1004.492329
155	1003.959154
156	1003.57088
157	1003.027573
158	1002.576284
159	1002.140233
160	1001.724103
161	1001.289598
162	1001.065635
163	1000.681274
164	1000.307803
165	1000.29131
166	999.974777
167	999.5653409
168	999.2595229
169	998.9926693
170	998.7236835
171	998.2897966
172	997.9721366
173	997.7054072
174	997.3916293
175	997.1459214
176	996.756218
177	996.496941
178	996.3059722
179	996.0195365
180	995.7391064
181	995.5688949
182	995.309795
183	995.0028251
184	994.9861629
185	994.8155782
186	994.6583455
187	994.468745
188	994.3227847
189	994.1193527
190	993.9460234
191	993.8500126
192	993.6764918
193	993.4321531
194	993.3520693
195	993.1396753
196	993.0036374
197	992.8010974
198	992.5512901
199	992.3405665
200	992.1366197
201	991.9620102
202	991.8149739
203	991.5867321
204	991.3164995
205	991.2210848
206	991.2071722
207	991.2042468
208	991.1391572
