iter	Passed	Remaining
0	163	65357
1	183	36613
2	203	26989
3	223	22077
4	242	19195
5	259	17059
6	276	15510
7	293	14392
8	311	13551
9	331	12947
10	348	12323
11	364	11786
12	381	11351
13	397	10972
14	415	10663
15	433	10399
16	449	10137
17	466	9897
18	483	9701
19	500	9514
20	518	9357
21	536	9210
22	552	9055
23	569	8917
24	585	8784
25	601	8656
26	620	8569
27	639	8501
28	657	8413
29	674	8313
30	690	8218
31	707	8133
32	725	8062
33	742	7991
34	759	7924
35	776	7849
36	793	7783
37	810	7716
38	826	7650
39	843	7588
40	858	7517
41	875	7464
42	891	7405
43	908	7347
44	924	7289
45	939	7233
46	956	7181
47	972	7133
48	989	7090
49	1007	7049
50	1023	7006
51	1041	6967
52	1061	6949
53	1077	6906
54	1093	6859
55	1109	6817
56	1125	6771
57	1141	6728
58	1156	6686
59	1174	6654
60	1191	6623
61	1208	6589
62	1225	6554
63	1241	6516
64	1256	6475
65	1272	6441
66	1289	6407
67	1305	6374
68	1321	6339
69	1336	6302
70	1352	6266
71	1368	6232
72	1383	6199
73	1399	6164
74	1416	6137
75	1431	6104
76	1447	6071
77	1462	6038
78	1478	6006
79	1493	5973
80	1510	5947
81	1526	5918
82	1544	5898
83	1564	5887
84	1580	5856
85	1596	5828
86	1612	5800
87	1627	5770
88	1643	5742
89	1659	5714
90	1674	5686
91	1689	5657
92	1705	5629
93	1722	5606
94	1738	5580
95	1753	5554
96	1769	5528
97	1785	5503
98	1801	5477
99	1818	5455
100	1834	5430
101	1851	5408
102	1867	5383
103	1883	5360
104	1898	5334
105	1914	5309
106	1931	5288
107	1946	5263
108	1962	5239
109	1978	5216
110	1994	5192
111	2010	5169
112	2026	5147
113	2042	5123
114	2057	5099
115	2073	5077
116	2089	5053
117	2105	5032
118	2121	5010
119	2138	4989
120	2153	4965
121	2168	4941
122	2183	4917
123	2199	4894
124	2214	4872
125	2232	4855
126	2249	4835
127	2266	4816
128	2281	4792
129	2296	4770
130	2312	4748
131	2328	4728
132	2345	4707
133	2360	4686
134	2376	4665
135	2392	4644
136	2408	4623
137	2425	4604
138	2440	4583
139	2456	4562
140	2471	4540
141	2487	4519
142	2503	4499
143	2519	4478
144	2535	4458
145	2552	4440
146	2568	4420
147	2584	4399
148	2596	4373
149	2610	4351
150	2627	4333
151	2643	4312
152	2658	4291
153	2672	4269
154	2689	4250
155	2704	4230
156	2720	4210
157	2736	4190
158	2753	4172
159	2768	4153
160	2784	4133
161	2801	4116
162	2815	4093
163	2832	4076
164	2848	4056
165	2863	4036
166	2879	4017
167	2895	3997
168	2910	3977
169	2925	3957
170	2941	3938
171	2957	3919
172	2972	3900
173	2987	3880
174	3003	3862
175	3019	3842
176	3044	3836
177	3060	3817
178	3076	3798
179	3091	3779
180	3106	3758
181	3121	3738
182	3136	3718
183	3152	3700
184	3167	3680
185	3181	3660
186	3197	3641
187	3213	3623
188	3229	3605
189	3244	3586
190	3260	3567
191	3275	3548
192	3290	3528
193	3306	3510
194	3321	3491
195	3337	3473
196	3353	3455
197	3370	3438
198	3386	3420
199	3402	3402
200	3417	3383
201	3433	3365
202	3449	3347
203	3465	3329
204	3481	3311
205	3496	3292
206	3511	3273
207	3524	3253
208	3540	3235
209	3556	3218
210	3572	3200
211	3588	3182
212	3603	3163
213	3618	3145
214	3634	3127
215	3650	3109
216	3666	3092
217	3682	3074
218	3690	3049
219	3700	3027
220	3715	3009
221	3731	2991
222	3747	2974
223	3762	2956
224	3778	2938
225	3793	2920
226	3807	2902
227	3821	2883
228	3837	2865
229	3854	2848
230	3871	2832
231	3887	2814
232	3903	2797
233	3918	2779
234	3933	2761
235	3949	2744
236	3957	2721
237	3974	2705
238	3990	2688
239	4006	2670
240	4013	2648
241	4030	2631
242	4045	2613
243	4060	2596
244	4076	2578
245	4091	2561
246	4107	2544
247	4123	2527
248	4139	2510
249	4157	2494
250	4171	2476
251	4185	2458
252	4196	2438
253	4210	2420
254	4224	2402
255	4239	2384
256	4253	2366
257	4269	2349
258	4284	2332
259	4300	2315
260	4315	2298
261	4330	2281
262	4346	2264
263	4361	2246
264	4377	2230
265	4393	2213
266	4409	2196
267	4424	2179
268	4439	2162
269	4456	2145
270	4472	2128
271	4486	2111
272	4500	2093
273	4516	2076
274	4530	2059
275	4545	2042
276	4560	2025
277	4575	2007
278	4589	1990
279	4605	1973
280	4620	1956
281	4634	1939
282	4649	1922
283	4665	1905
284	4680	1888
285	4694	1871
286	4708	1853
287	4722	1836
288	4736	1819
289	4750	1801
290	4766	1785
291	4780	1768
292	4796	1751
293	4812	1735
294	4827	1718
295	4841	1701
296	4858	1684
297	4872	1667
298	4886	1650
299	4900	1633
300	4913	1616
301	4927	1598
302	4942	1582
303	4955	1565
304	4971	1548
305	4990	1533
306	5006	1516
307	5021	1499
308	5036	1483
309	5052	1466
310	5070	1451
311	5085	1434
312	5099	1417
313	5117	1401
314	5131	1384
315	5146	1367
316	5160	1351
317	5174	1334
318	5188	1317
319	5203	1300
320	5219	1284
321	5235	1268
322	5250	1251
323	5264	1234
324	5279	1218
325	5297	1202
326	5314	1186
327	5331	1170
328	5347	1154
329	5363	1137
330	5379	1121
331	5395	1105
332	5409	1088
333	5423	1071
334	5439	1055
335	5453	1038
336	5468	1022
337	5484	1005
338	5498	989
339	5514	973
340	5531	957
341	5547	940
342	5561	924
343	5575	907
344	5592	891
345	5605	874
346	5619	858
347	5633	841
348	5649	825
349	5663	809
350	5677	792
351	5692	776
352	5706	759
353	5720	743
354	5733	726
355	5748	710
356	5761	693
357	5775	677
358	5790	661
359	5805	645
360	5820	628
361	5837	612
362	5852	596
363	5867	580
364	5882	564
365	5897	547
366	5913	531
367	5928	515
368	5943	499
369	5956	482
370	5972	466
371	5986	450
372	6000	434
373	6015	418
374	6029	401
375	6043	385
376	6057	369
377	6071	353
378	6089	337
379	6104	321
380	6119	305
381	6133	288
382	6147	272
383	6161	256
384	6176	240
385	6192	224
386	6206	208
387	6222	192
388	6237	176
389	6251	160
390	6268	144
391	6283	128
392	6298	112
393	6312	96
394	6326	80
395	6343	64
396	6358	48
397	6372	32
398	6386	16
399	6401	0
